pull_time,club_name,active,console,club_id,division,ten_match_record,total_games,wins,losses,draws,goals_scored,goals_per_match,goals_conceded,goals_conceded_per_match,goal_difference,promotions,holds,relegations,best_season_div,best_season_points,region,stadium,total_rank_points,league_points,cup_points,div_1_titles,other_div_titles,total_trophies
2023-03-20 18:05:16,TheBenchWarmers,Yes,xboxone,670624,1,WWWWLLDDDD,539,361,69,109,1824,3.38,1054,1.96,770,11,47,2,1,25,Central America,Arena del Centenario,12579,12579,0,21,8,29
2023-03-20 18:05:16,FromMars,Yes,xboxone,3044384,1,WWWWWWWWWD,1987,1021,306,660,4851,2.44,3876,1.95,975,60,108,51,1,25,East Coast US,Etihad Stadium,26623,26623,0,19,32,51
2023-03-20 18:05:16,Ben and friends,Yes,xboxone,410954,1,WWWWWWWLLL,402,252,53,97,1031,2.56,639,1.59,392,14,26,5,1,25,British Isles,El Alcoraz,8039,8039,0,11,13,24
2023-03-20 18:05:16,PATTERN UR GYAL,Yes,xboxone,3679179,1,WWWWWWWWLD,560,326,85,149,1462,2.61,920,1.64,542,17,37,8,1,25,British Isles,PATTERN GANG,10265,10265,0,14,11,25
2023-03-20 18:05:16,Twizzy Rich,Yes,xboxone,104214,1,WWWWWWWLLD,855,408,162,285,1729,2.02,1497,1.75,232,25,50,16,1,25,East Coast US,Pacesetter Park,10998,10998,0,6,12,18
2023-03-20 18:05:16,NextMatch,Yes,xboxone,3470799,1,WWWWWWWLDD,332,244,41,47,1069,3.22,490,1.48,579,10,27,1,1,25,Central America,Al Jayeed Stadium,8823,8823,0,17,9,26
2023-03-20 18:05:16,Pub Subs,Yes,xboxone,5845819,1,WWWWWWLLLD,626,394,99,133,1634,2.61,938,1.5,696,15,49,6,1,25,Central America,El Alcoraz,13158,13158,0,19,11,30
2023-03-20 18:05:16,Sleestak FC,Yes,xboxone,6860024,1,WWWWWWWWLD,330,228,45,57,819,2.48,396,1.2,423,10,27,1,1,25,East Coast US,San Siro,7588,7588,0,10,9,19
2023-03-20 18:05:16,Babo FC,Yes,xboxone,7840229,1,WWWWWWWWWW,352,280,38,34,1382,3.93,584,1.66,798,9,33,0,1,25,Eastern Europe,Old Trafford,10401,10401,0,21,9,30
2023-03-20 18:05:16,on4nem,Yes,xboxone,79934,1,WWWWWWWLLD,765,467,105,193,2160,2.82,1396,1.82,764,16,61,7,1,25,East Coast US,Municipal de Butarque,14636,14636,0,16,13,29
2023-03-20 18:05:16,AlbDeGenerking2,Yes,xboxone,4512244,1,WWWWWWWLLD,478,293,75,110,1287,2.69,818,1.71,469,15,32,6,1,25,East Coast US,El Alcoraz,9488,9488,0,14,11,25
2023-03-20 18:05:16,Xg JAME,Yes,xboxone,1706909,1,WWWWWWLLLD,398,257,48,93,1169,2.94,690,1.73,479,12,30,3,1,25,British Isles,Estadio San Mamés,8340,8340,0,11,9,20
2023-03-20 18:05:16,KBENDICION,Yes,xboxone,10323379,1,WWWWWWWLLL,441,326,45,70,1399,3.17,652,1.48,747,11,37,2,1,25,West Coast US,Cívitas METROPOLITANO,11181,11181,0,20,11,31
2023-03-20 18:05:16,eFatigued,Yes,xboxone,11724239,1,WWWWWWWWWW,201,201,0,0,786,3.91,76,0.38,710,9,18,0,1,24,British Isles,Stadium of Light,7467,7467,0,18,9,27
