pull_time,club_name,active,console,club_id,division,ten_match_record,total_games,wins,losses,draws,goals_scored,goals_per_match,goals_conceded,goals_conceded_per_match,goal_difference,promotions,holds,relegations,best_season_div,best_season_points,region,stadium,total_rank_points,league_points,cup_points,div_1_titles,other_div_titles,total_trophies
2023-04-17 19:47:13,Saudi on top,Yes,ps5,2647228,1,WWWWWLLLDD,484,328,61,95,1579,3.26,855,1.77,724,10,44,1,1,25,,Ivy Lane,11939,11939,0,20,8,28
2023-04-17 19:47:13,Creative Touch,Yes,ps5,8109028,1,WWWWWWWWLD,812,705,51,56,2765,3.41,672,0.83,2093,9,87,0,1,25,Southern Europe,Estadio Santiago Bernabéu,28374,28374,0,74,9,83
2023-04-17 19:47:13,La FàbricaX,Yes,ps5,9033113,1,WWWWWWWLLD,435,303,62,70,1157,2.66,508,1.17,649,10,40,1,1,25,British Isles,Estadio Santiago Bernabéu,10442,10442,0,14,10,24
2023-04-17 19:47:13,DAGOBAS,Yes,ps5,350628,1,WWWWWLLLDD,1211,817,146,248,3181,2.63,1634,1.35,1547,19,104,10,1,25,Southern Europe,Olympiastadion,29360,29360,0,58,14,72
2023-04-17 19:47:13,ARABIAN LOCOS,Yes,ps5,5293873,1,WWWWWWWWWL,377,336,20,21,1439,3.82,486,1.29,953,9,36,0,1,25,West Coast US,Estádio do SL Benfica,13167,13167,0,34,9,43
2023-04-17 19:47:13,A Press L2 FC,Yes,ps5,30123,1,WWWWWWWWWW,1024,813,118,93,3179,3.1,1013,0.99,2166,9,105,0,1,25,Asia,Hong Kong Stadium,33200,33200,0,85,9,94
2023-04-17 19:47:13,II France II,Yes,ps5,3002748,1,WWWWWWWWWD,1211,788,172,251,3125,2.58,1560,1.29,1565,18,108,9,1,25,Southern Europe,King Fahd Stadium,28158,28158,0,49,12,61
2023-04-17 19:47:13,Royal CF,Yes,ps5,2652553,1,WWWWWWWWDD,585,432,66,87,1704,2.91,800,1.37,904,12,53,3,1,25,,King Fahd Stadium,15764,15764,0,31,11,42
2023-04-17 19:47:13,Mister Clutch,Yes,ps5,762523,1,WWWWWWWWDD,1111,658,179,274,2443,2.2,1346,1.21,1097,21,91,12,1,25,Asia,Waldstadion,21509,21509,0,25,14,39
2023-04-17 19:47:13,10PM FC,Yes,ps5,216478,1,WWWWWWLLLD,496,283,97,116,946,1.91,530,1.07,416,14,35,5,1,25,,El Alcoraz,9086,9086,0,11,9,20
2023-04-17 19:47:13,iiTHE HOODii,Yes,ps5,3989283,1,WWWWWWLLDD,1365,779,201,385,3485,2.55,2194,1.61,1291,34,93,25,1,25,,iiThe Ghettoii,23159,23159,0,24,22,46
2023-04-17 19:47:13,X Fc 95zoo X,Yes,ps5,3737423,1,WWWWWWWLLD,1052,727,139,186,3252,3.09,1607,1.53,1645,13,100,4,1,25,Southern Europe,Cívitas METROPOLITANO,26459,26459,0,49,10,59
2023-04-17 19:47:13,TDOT N CO,Yes,ps5,384393,1,WWWWWWWWWD,1577,1276,142,159,5191,3.29,1867,1.18,3324,9,166,0,1,25,East Coast US,THE BIG OHH,51777,51777,0,135,9,144
2023-04-17 19:47:13,COLARNIA FC,Yes,ps5,135198,1,WWWWWWWWDD,795,490,137,168,2104,2.65,1226,1.54,878,17,62,8,1,25,Southern Europe,San Siro,16454,16454,0,24,14,38
2023-04-17 19:47:13,Let the girl go,Yes,ps5,26668,1,WWWWLLLLLL,985,667,121,197,2668,2.71,1113,1.13,1555,12,94,3,1,25,Asia,Waldstadion,23863,23863,0,41,11,52
2023-04-17 19:47:13,daddellito,Yes,ps5,1886773,1,WWWWWWWWLD,863,619,108,136,2424,2.81,1098,1.27,1326,9,86,0,1,25,East Coast US,Orange Vélodrome,23226,23226,0,46,9,55
2023-04-17 19:47:13,Knateeesh FC,Yes,ps5,679298,1,WWWWWWWWWD,749,484,92,173,1946,2.6,1199,1.6,747,14,62,5,1,25,,Stadion Hanguk,16101,16101,0,27,12,39
2023-04-17 19:47:13,The Shelby,Yes,ps5,332153,1,WWWWWWWLLD,573,357,73,143,1467,2.56,832,1.45,635,13,46,4,1,25,,Waldstadion,12184,12184,0,18,9,27
2023-04-17 19:47:13,Black Pearl VFC,Yes,ps5,2670783,1,WWWWWWWWWL,323,262,35,26,1018,3.15,209,0.65,809,9,29,0,1,25,,"P"" Ming N"" Pao Stadium",9891,9891,0,22,9,31
2023-04-17 19:47:13,one pass,Yes,ps5,311023,1,WWWWWWWWWW,1674,1316,175,183,5490,3.28,2018,1.21,3472,10,176,1,1,25,,San Siro,52824,52824,0,132,9,141
2023-04-17 19:47:13,Best 11,Yes,ps5,14328,1,WWWWWLLLLL,891,497,146,248,1786,2.0,1117,1.25,669,20,69,11,1,25,Asia,El Alcoraz,14412,14412,0,7,12,19
2023-04-17 19:47:13,Reddington,Yes,ps5,1134578,1,WWWWWLLLLD,713,441,102,170,1635,2.29,974,1.37,661,15,59,6,1,25,,Mercedes-Benz Stadium,14619,14619,0,19,11,30
